pais,codigo,annio,costo_dieta_saludable_2017_usd_dia,continente
Albania,ALB,2017,4.281675858,Europa
Algeria,DZA,2017,4.01711778,África
Angola,AGO,2017,4.582558116,África
Anguilla,AIA,2017,4.508903222,América del Norte
Antigua y Barbuda,ATG,2017,4.458330811,América del Norte
Argentina,ARG,2017,3.4968817,América del Sur
Armenia,ARM,2017,3.561060854,Asia
Aruba,ABW,2017,3.964441841,América del Norte
Australia,AUS,2017,2.270715631,Oceanía
Austria,AUT,2017,2.905280516,Europa
Azerbaijan,AZE,2017,2.805918933,Asia
Bahamas,BHS,2017,4.290752694,América del Norte
Bahrain,BHR,2017,4.55379047,Asia
Bangladesh,BGD,2017,3.441523122,Asia
Barbados,BRB,2017,5.891262376,América del Norte
Bielorrusia,BLR,2017,4.061629992,Europa
Bélgica,BEL,2017,2.876678049,Europa
Belize,BLZ,2017,2.913016384,América del Norte
Benín,BEN,2017,3.523153305,África
Bermudas,BMU,2017,3.733898606,América del Norte
Bhutan,BTN,2017,4.779471981,Asia
Bolivia,BOL,2017,3.758738978,América del Sur
Bosnia y Herzegovina,BIH,2017,4.284558679,Europa
Botswana,BWA,2017,3.958068766,África
Brasil,BRA,2017,2.807738164,América del Sur
Islas Vírgenes Británicas,VGB,2017,3.962111215,América del Norte
Brunei,BRN,2017,4.98501209,Asia
Bulgaria,BGR,2017,4.167510318,Europa
Burkina Faso,BFA,2017,3.542036729,África
Burundi,BDI,2017,3.439233172,África
Camboya,KHM,2017,4.518698266,Asia
Camerún,CMR,2017,3.601684469,África
Canadá,CAN,2017,2.976252719,América del Norte
Cabo Verde,CPV,2017,3.364083781,África
Islas Caimán,CYM,2017,3.187522751,América del Norte
República Centroafricana,CAF,2017,3.267034795,África
Chad,TCD,2017,3.216645812,África
Chile,CHL,2017,3.075040316,América del Sur
China,CHN,2017,3.608958352,Asia
Colombia,COL,2017,3.266096458,América del Sur
Comoras,COM,2017,3.357260846,África
Congo,COG,2017,3.876845836,África
Costa Rica,CRI,2017,3.879117852,América del Norte
Costa de Marfil,CIV,2017,2.889052155,África
Croacia,HRV,2017,4.373040879,Europa
Curazao,CUW,2017,3.243351262,América del Norte
Chipre,CYP,2017,3.051524636,Europa
República Checa,CZE,2017,3.108033837,Europa
República Democrática del Congo,COD,2017,3.24618016,África
Dinamarca,DNK,2017,2.389893956,Europa
Djibouti,DJI,2017,3.540836588,África
Dominica,DMA,2017,4.154977707,América del Norte
República Dominicana,DOM,2017,4.024191138,América del Norte
Ecuador,ECU,2017,3.182589661,América del Sur
Egipto,EGY,2017,4.148056121,África
El Salvador,SLV,2017,4.686519279,América del Norte
Guinea Ecuatorial,GNQ,2017,3.888462533,África
Estonia,EST,2017,3.287714057,Europa
Eswatini,SWZ,2017,3.202414589,África
Etiopía,ETH,2017,3.647435865,África
Fiji,FJI,2017,3.955216302,Oceanía
Finlandia,FIN,2017,2.574301349,Europa
